,German,English
0,"lernen: ich lerne, du lernst, er / sie / es lernt, wir lernen, ihr lernt, Sie / sie","learn: I learn, you learn, he / she / it learns, we learn, you learn, you / she"
2,"hören: ich höre, du hörst, er / sie / es hört, wir hören, ihr hört, Sie / sie hören","hear: I hear, you hear, he / she hears, we hear, you hear, you hear"
3,"kommen: ich komme, du kommst, er / sie / es kommt, wir kommen, ihr","come: I come, you come, he / she / it comes, we come, you"
4,"kommt, Sie / sie kommen","comes, she / it comes"
5,"gehen: ich gehe, du gehst, er / sie / es geht, wir gehen, ihr geht, Sie / sie","go: I go, you go, he / she / it goes, we go, you go, you / she"
6,gehen,""""
7,"sprechen: e –> i ich spreche, du sprichst, er / sie / es spricht, wir sprechen,",": e - > i I speak, you speak, he / she / it speaks, we speak,"
8,"ihr sprecht, Sie / sie sprechen","you speak, you speak"
9,"lesen: e → ie ich lese, du liest, er / sie / es liest, wir lesen, ihr lest, Sie / sie","read: e → ie I read, you read, he / she / it reads, we read, you read, she / she"
10,lesen,read more
11,"sein: ich bin, du bist, er / sie / ist ist, wir sind, ihr seid, Sie / sie sind",": I am, you are, he / she / is, we are, you are, you / they are"
12,"haben: ich habe, du hast, er / sie / es hat, wir haben, ihr habt, Sie / sie haben",": I have, you have, he / she / it has, we have, you have, you / she have"
13,"Bin ich heute gut gelaunt? Ja, ich denke schon.","Am I in a good mood today? Yes, I think so."
14,"Bist du auch gut gelaunt? Ja, ich bin auch gut gelaunt.","Are you also in a good mood? Yes, I am also in a good mood."
15,Ich komme aus Deutschland. Prädikat – konjugiere Verb: Pos. II,I come from Germany. Predicate - conjugate verb: pos. II
16,Kommst du aus Deutschland?,Are you from Germany?
17,"Frau Bistrosch, können Sie das noch einmal erklären.","Mrs Bistrosch, can you explain that again?"
18,mögen – to like,to like - to like
19,ich möchte – I'd like to,I'd like to - I'd like to
23,Ich mag kaltes Wetter nicht. Ich mag kein kaltes Wetter.,I don't like cold weather. I don't like cold weather.
24,Ich bin nicht verheiratet.,I'm not married.
25,"Ich singe am Morgen bei schlechtem Wetter nicht, wenn ich zu spät",I do not sing in the morning in bad weather when I am late
26,"aufgestanden bin, und vergessen habe den Wecker zu stellen,.",I got up and forgot to set the alarm.
28,Ich sehe jeden Nachmittag um die gleiche Uhrzeit mit meiner Schwester bei,I watch every afternoon at the same time with my sister
29,"einer Tasse Kaffee und einem Stückchen Kuchen, den sie selbst gebacken",a cup of coffee and a piece of cake she baked herself
30,"hat, fern.",", far away."
31,Kartoffel / Erdäpfel,Potato / Potatoes
33,From Kathleen to Everyone 03:08 AM,From Kathleen to Everyone 03: 08 AM
34,Machst du heute etwas Besonderes,Are you doing something special today?
37,Ich konnte nicht so viele Ãbungen machen,I couldn't do so many exercises
38,die Muskeln,the muscles
40,weak - schwach,Weak - weak
41,Meine Muskeln waren schlapp und ich war schwach,My muscles were weak and I was weak
42,Wie lange gehst du normalerweise ins Fitnessstudio?,How long do you usually go to the gym?
43,abnehmen,lose weight
45,nehmen -. to take,take -. to take
46,das Gewicht,the weight
47,Part. II genommen,Part II
48,abnehmen - abgenommen,to lose - to lose weight
49,Ich habe Deutsch gelernt,I have learned German
50,From office@cohns-welt-deutschland.de to Everyone 03:15 AM,From office @ cohns-welt-to-everyone 03: 15 AM
51,https://youtu.be/1_UQhfMJSL4,https: / / youtu.be / 1 _ UQhfMJSL4
52,https://youtu.be/KLOR7NalKew,https: / / youtu.be / KLOR7NalKew
53,From Laila to Everyone 03:15 AM,From Laila to Everyone 03: 15 AM
54,dankee!!,Thank you!!
55,From Nataly Medeiros to Everyone 03:16 AM,From Nataly Medeiros to Everyone 03: 16 AM
57,From office@cohns-welt-deutschland.de to Everyone 03:16 AM,From office @ cohns-welt-to-everyone 03: 16 AM
58,https://youtu.be/Bn7cAqZGEAU,https: / / youtu.be / Bn7cAqZGEAU
59,From Khaled Choqo to Everyone 03:18 AM,From Khaled Choqo to Everyone 03: 18 AM
60,I forgot about those questions,I forgot about those questions
61,From Kathleen to Everyone 03:31 AM,From Kathleen to Everyone 03: 31 AM
62,Improvisation ist alles,Improvisation is everything
63,Wir sprechen auch spontan,We also speak spontaneously
