IT,English
WWW.MY-SUBS.COM,WWW.MY-SUBS.COM
Se hai sedici anni e vivi nel quartiere più bello di Roma sei fortunato.,"If you're 16 and live in the most beautiful neighborhood of Rome, you're lucky."
Il nostro è il migliore dei mondi possibili.,Ours is the best of the worlds.
"Siamo immersi in questo acquario bellissimo, ma sogniamo il mare.","We are immersed in this beautiful aquarium, but we dream of the sea."
"Ecco perché, per sopravvivere,","That's why, to survive,"
abbiamo bisogno di una vita segreta.,We need a secret life.
"Ehi, devi svegliarti. Dai!","Hey, you need to wake up."
Nico!,Nico!
"Nico, alzati, dai! Ti devi alzare. Vestiti.","Nico, get up, come on, get up, get dressed."
Sì.,Yes.
"- Dai. - Sì, sì.","- Yeah, yeah."
Ci vediamo a scuola.,I'll see you at school.
Signora.,Ma'am.
- Buongiorno. - Eccoti lì.,- There you are.
"- La vuoi la centrifuga? - No, grazie, devo scappare.","No, thank you, I have to run."
Non puoi sempre saltare la colazione.,You can't always skip breakfast.
- Esci così? - Mi alleno prima.,- You're going out like this?
"Senti, ma tu lo sapevi che il marito della prof di atletica,","Look, you knew that the athletic teacher's husband,"
"l'ambasciatore, ha un altro figlio?","The ambassador, do you have another son?"
Dicono che non l'ha cresciuto lui e che...,They say he didn't raise him and that...
Ciao.,Hi.
Ma ieri sera?,But last night?
Ti ho chiamato dieci volte.,I called you ten times.
"Sono crollata, ero distrutta. Pronta?","I collapsed, I was destroyed."
Ti ho fatto scaldare un cornetto. Non sapevo cosa prendi.,I didn't know what you were getting.
Basta un caffè.,Just a coffee.
Buongiorno.,Good morning.
- E la divisa? - Sto bene così.,- What about the uniform?
Guarda che non ti fanno entrare così.,They won't let you in like that.
No? Ci stanno le guardie pure là?,"Are the guards there, too?"
Qui incoraggiamo le vostre passioni.,Here we encourage your passions.
Tentiamo di aiutarvi a trovare voi stessi.,We try to help you find yourself.
"Entrare a metà dell'anno non è semplice, all'inizio ti sentirai un po' spaesato.","Coming in in the middle of the year isn't easy, at first you'll feel a little lost."
"Certo il livello è alto, è molto più alto della scuola da dove provieni,","Of course, the level is high. It's much higher than the school you come from."
però se studi e rimani concentrato,but if you study and stay focused
sono sicuro che ti inserirai bene.,I'm sure you'll fit in nicely.
"Così ha detto, eh?","That's what he said, huh?"
- Ciao. - Ciao.,- Hi.
Ciao.,Hi.
"Scusa, questo è il mio banco.","Sorry, this is my desk."
D'ora in poi non più.,Not anymore.
Damiano Younes.,Damiano Younes.
Presente.,Present.
Il tuo banco è qui davanti. Abbiamo i posti assegnati.,Your desk's in front of us.
Tutto bene?,You okay?
Che cazzo vuoi?,What the fuck do you want?
"No, niente. Pensavo ti sentissi male.",I thought you were sick.
Scusa.,Sorry.
È che c'ho l'interrogazione di matematica.,It's just that I have the math question.
E non so un cazzo. Quindi mi stavo preparando.,"And I don't know shit, so I was getting ready."
Ti serve una mano?,Do you need some help?
È che ne ho una copia solo. Se sbaglio è un casino.,"If I'm wrong, it's a mess."
Comunque grazie.,"Anyway, thank you."
Allora...,So...
Allora.,So.
- Questo è quello di tuo padre? -Mm-mm.,- Is this your father's?
Come stanno?,How are they?
Perfette.,Perfect.
Vabbè. Mo' vai però! Devo ripassare ancora.,I've got to go over it again.
Non hai ancora consegnato i moduli?,You haven't delivered the forms yet?
Ci stavo per andare.,I was gonna go.
Tanto gli ho detto a mio padre di non farvi passare.,I told my dad not to let you through anyway.
"Così anziché un anno all'estero, rimanete qui al Collodi.","So instead of a year abroad, stay here at Collodi."
Che stronzo!,What an asshole!
"Sì, ho capito, ma a me non ci pensate. Io che faccio senza di voi?","Yeah, I get it, but don't think about me."
Ma lo sai che ci mancherai.,But you know we're gonna miss you.
E le colazioni al Central Park?,What about breakfasts at Central Park?
"- Ah no, infatti. - Ah, capisci!","- Oh, no, you don't."
Ma voi ci venite alla festa di Brando?,Are you guys coming to Brando's party?
Ci vanno tutti.,Everyone's going.
Ecco il secchiello.,Here's the bucket.
Che stavi facendo nel bagno?,What were you doing in the bathroom?
Un altro video porno. Poi mandacelo.,"Another porn video, then send it to us."
Dite che viene?,You say he's coming?
"Non penso proprio, dopo quello che ha fatto.","I don't think so, after what he did."
Vado a consegnare i moduli. Ci vediamo dopo.,I'm gonna go deliver the forms.
- Com'è andata oggi? - Male.,- How was your day?
È normale. Datti tempo.,It's normal.
"Senti papà, mi puoi accompagnare a casa, devo riprendere il motorino?","Listen, Dad, can you drive me home? Should I get my scooter back?"
"Purtroppo, vado a una riunione. Facciamo domenica?","Unfortunately, I'm going to a meeting."
E che sto tutta la settimana a piedi?,And that I'm walking all week?
- C'è l'autista. - Ma non ci penso proprio!,- The driver's here.
"Damiano, questo motorino è vecchio.","Damiano, this scooter is old."
Ci sono affezionato. Era di mamma.,It was Mom's.
"Forse è meglio se ti compro una macchinetta, è più sicuro.","Maybe it's better if I buy you a machine, it's safer."
"Vabbè, ho capito, ci vado da solo.","All right, I get it. I'm going alone."
E mandaci 'sti coglioni in giro con la macchinetta.,And send these assholes around with the machine.
"- Bella, Damiano. - Oh, bella, Fa'!","- Nice, Damiano."
"Ti vedo bene, so' contento.",You look good. I'm happy.
"Pure io. Fica sta maglietta, aho.","So am I. Pussy's shirt, aho."
"Senti, ma che fine ha fatto la roba che ti ho dato?","Look, what happened to the stuff I gave you?"
Te la devo ridare. Non riesco a piazzarla a questo momento.,I'm gonna give it back to you.
C'ho guardie col mitra sotto casa.,I've got guards with a machine gun underneath the house.
"E che vieni, a fa' reso? Che ti sembro, un pizzicarolo?","What do you think I look like, a pinch?"
- Mi dispiace ma... - Non hai capito.,"I'm sorry, but... you don't understand."
"Inventate qualcosa, fantasia.","Invent something, fantasy."
"Vabbè, te la ridò. Mi sento più tranquillo.","All right, I'll give it back to you."
"Guarda Damiano, io te voglio bene ma non se può fà. O mi porti i soldi","Look Damiano, I love you but not if you can. Or bring me the money."
oppure questo motorino di merda.,Or this fucking scooter.
"No, dammi un'altra settimana e risolvo, vabbè?","No, just give me another week and I'll figure it out, okay?"
Una settimana. A posto.,A week.
"Se capiti in piazza passa a salutare mia cugina, che sicuramente le fa piacere.","If you happen to be in the square, stop by and say goodbye to my cousin, who surely pleases you."
Amore di nonna!,Grandma's love!
"- Ciao, nonna. - Come stai?","- Hi, Grandma."
Ma che sei cresciuto?,What have you grown up for?
"- Sembra che ti sei allungato. - O, sei te che ti sei ristretta, non io.","Or, you're the one who narrowed down, not me."
E cerca di star dritta con questa schiena.,And try to stand straight with this back.
È che io sto più comoda così.,It's just that I'm more comfortable this way.
Poi vedrai...,Then you'll see...
"Senti, io vado a pigliare qualcosa in camera e rivengo, va bene?","Look, I'm gonna go grab something in my room and I'm gonna sell it, okay?"
Ma dove corri?,Where are you running?
"- Non resti a cena? - No, non posso nonna.",- You're not staying for dinner?
"Aspetta, aspetta...","Wait, wait..."
"Ma, come va?","But, how's it going?"
Com'è col papà? Te tratta bene?,What's he like with Dad?
Era meglio qua.,It was better here.
Tu ha promesso la mamma...,You promised Mom...
"Ah vabbè, ciao nonna.","Oh, well, hello, Grandma."
"Mortacci mia, mejo se stavo zitto.","Dead me, mejo if I shut up."
"La retta non si paga da sola, neanche il parrucchiere.","The tuition doesn't pay for itself, not even the hairdresser."
La lasciamo così allo sbando tua figlia?,That's how we leave your daughter behind?
"Richiamami, stronzo!","Call me back, asshole!"
- Tuo padre è uno stronzo. - Niente di nuovo.,- Your dad's an asshole.
